N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
175,6,6,6,51,6,6,6,12,7,6,7,6,5
176,6,6,6,6,6,6,6,6,7,6,8,6,5
177,6,6,6,6,6,6,6,6,7,6,9,6,5
178,6,6,6,6,6,6,6,6,7,6,7,6,4
179,6,7,6,6,6,6,7,6,6,6,6,6,4
180,6,6,6,6,6,6,6,6,7,6,6,6,5
181,6,6,6,6,6,14,6,7,6,6,6,6,5
182,6,6,6,53,6,6,6,6,6,6,6,6,4
183,7,6,6,6,15,6,6,6,7,120,67,9,5
184,6,6,6,6,6,6,6,6,7,6,6,6,4
185,6,6,6,6,6,6,6,6,7,6,7,6,10
186,6,6,6,6,6,25,6,6,7,6,6,6,4
187,6,6,6,6,7,7,6,6,7,6,6,6,6
188,6,6,6,6,6,6,6,6,10,6,6,6,5
189,6,6,18,6,6,6,6,6,7,8,7,6,4
190,6,6,6,6,6,6,7,6,7,6,6,6,5
191,6,6,6,6,6,6,6,6,7,6,6,6,5
192,96,6,6,6,6,6,6,6,6,6,6,6,5
193,6,6,6,8,6,6,7,6,7,6,6,7,5
194,6,6,6,6,6,6,6,6,7,6,6,6,51
195,6,6,7,6,6,6,6,6,7,6,9,6,4
196,6,6,6,6,6,7,6,6,7,6,6,6,5
197,6,8,6,6,6,6,6,6,7,6,7,8,5
198,7,7,6,7,7,7,7,6,7,7,7,7,4
199,6,6,6,6,6,6,6,6,7,6,6,6,5
200,6,9,6,6,6,6,6,6,7,6,6,6,5
201,6,7,6,7,7,6,6,6,7,6,6,6,5
202,6,6,6,6,6,7,6,7,7,6,6,6,5
203,6,6,6,6,7,6,8,6,7,6,6,23,9
204,68,55,6,6,6,7,6,6,7,6,7,6,5
205,7,6,7,6,6,6,6,6,7,6,6,6,5
206,6,6,6,6,7,6,6,6,7,7,6,6,10
207,6,6,6,6,7,18,6,27,7,7,7,6,5
208,48,6,6,6,7,6,7,7,7,7,7,7,5
209,6,19,6,7,55,6,7,7,7,7,7,7,5
210,7,10,6,6,7,7,7,7,7,7,7,7,4
211,6,6,7,15,6,6,8,8,7,7,6,6,6
212,6,7,6,6,6,6,6,6,7,6,6,6,18
213,6,6,6,6,6,6,6,6,7,7,6,6,5
214,6,6,6,6,6,6,6,6,7,6,6,6,5
215,6,6,6,6,6,32,6,6,7,7,19,6,4
216,6,6,6,6,6,6,7,6,7,7,6,6,5
217,7,6,6,6,6,6,6,6,7,7,6,7,9
218,6,6,6,6,7,6,7,6,7,7,6,6,10
219,6,7,7,6,9,7,12,7,36,144,13,7,9
220,7,6,6,7,7,7,6,7,8,7,7,52,5
221,7,6,7,6,14,6,8,7,7,7,7,7,5
222,6,6,6,6,6,6,13,6,7,6,6,6,5
223,6,6,6,6,7,7,6,6,7,6,6,7,12
224,6,6,6,6,6,6,7,7,7,7,6,6,5
225,6,6,55,6,7,6,7,6,7,10,6,6,5
226,6,11,6,6,7,6,6,6,7,7,6,6,5
227,103,7,6,6,7,6,6,19,7,13,6,6,5
228,6,6,6,7,7,7,6,6,7,7,12,7,5
229,6,6,6,6,7,6,6,6,7,7,7,7,7
230,7,8,7,6,7,7,7,7,11,7,7,7,5
231,6,6,6,7,7,6,6,6,7,6,6,7,5
232,6,6,6,6,8,6,6,7,10,7,6,7,6
233,6,6,6,6,6,7,6,6,7,7,7,7,5
234,6,6,8,6,7,6,6,7,7,6,37,6,5
235,27,6,6,6,7,6,6,7,7,7,6,6,7
236,7,7,6,6,7,6,7,34,7,7,6,7,5
237,6,6,6,7,6,6,6,8,8,6,6,6,5
238,6,6,7,6,7,7,6,7,7,7,7,6,5
239,7,7,7,7,7,7,70,106,60,9,9,9,8
240,9,9,9,9,7,7,7,8,7,7,7,7,5
241,7,7,7,7,7,7,7,7,7,7,8,7,16
242,7,7,7,7,8,7,7,7,8,7,7,7,4
243,6,7,6,8,7,6,6,6,7,7,7,7,5
244,6,6,10,12,7,6,6,6,7,7,7,7,5
245,6,6,6,6,7,6,6,7,7,7,6,8,5
246,7,6,7,7,7,6,6,6,7,7,7,6,5
247,7,6,6,6,7,7,6,7,7,7,6,7,5
248,6,7,6,6,7,6,37,7,7,7,7,7,5
249,6,6,6,6,7,8,6,8,7,9,7,7,5
250,6,6,7,6,7,7,6,7,8,14,7,47,5
251,7,6,6,7,7,7,7,10,8,7,7,7,5
252,7,7,7,7,8,7,7,7,8,7,7,9,5
253,7,7,7,73,54,69,7,7,8,7,7,7,10
254,22,6,6,6,7,6,6,6,7,12,7,6,5
255,6,6,7,7,7,6,24,8,8,7,6,6,5
256,6,7,6,6,7,6,7,6,7,7,62,6,5
257,7,6,6,6,11,8,6,7,7,7,7,6,10
258,6,7,6,6,7,6,7,6,7,7,7,7,5
259,6,6,10,7,7,7,19,6,7,7,7,7,5
260,6,7,7,7,7,7,34,65,12,7,7,7,5
261,6,6,6,6,7,7,12,11,7,7,7,6,5
262,8,7,7,19,15,7,7,7,8,7,7,7,6
263,6,6,6,6,7,7,7,7,8,7,7,7,5
264,6,11,6,6,7,7,7,6,7,7,7,7,5
265,6,6,7,7,7,7,7,6,7,7,7,7,5
266,8,14,6,7,9,7,7,7,7,7,7,7,5
267,7,7,7,6,7,7,7,7,7,7,7,7,5
268,6,41,6,7,7,7,7,7,7,7,7,7,5
269,6,6,7,7,7,7,7,7,7,13,7,7,5
270,7,6,7,7,7,54,7,6,7,7,8,7,5
271,7,7,10,11,9,7,7,7,8,8,7,7,5
272,7,7,7,7,7,7,7,7,8,8,9,7,5
273,8,8,8,7,8,7,9,7,8,7,7,7,5
274,7,7,7,7,8,8,7,7,8,7,7,7,5
275,7,7,7,6,7,7,7,7,8,7,7,10,25
276,6,7,7,16,7,8,10,7,7,7,8,7,44
277,6,7,7,6,7,7,7,7,7,7,8,7,5
278,7,7,7,19,7,7,7,7,7,7,7,7,5
279,6,7,7,8,7,7,7,7,8,7,7,7,5
280,49,7,6,6,7,7,7,13,7,7,7,7,5
281,7,7,7,6,7,7,7,7,8,7,7,14,5
282,7,7,7,7,7,7,7,7,7,7,7,7,5
283,7,7,7,7,8,7,8,7,8,8,9,7,5
284,7,7,7,8,8,7,7,7,8,7,7,7,5
285,7,9,7,14,7,26,7,7,8,8,7,7,5
286,7,7,7,6,7,7,7,7,8,7,7,7,9
287,7,85,41,69,8,7,7,6,7,7,7,7,5
288,8,7,7,6,7,7,7,7,8,7,7,7,5
